,label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,categorical_feature_1
0,2,-2.7462967894432873,0.22680771316480358,7.609808435712788,-2.5753915659725624,1.3087747781526478,-2.974092155963865,0.08836870869473903,-1.1786515378906435,3.9869008987900183,2.092175267020731,-0.5382524928210866,-0.32358867861895024,-1.1432921734268746,-0.9648327959287216,1.788285570626233,0.4754699386472928,0.21948820632321345,2.0564780678067582,-2.7535149308925235,-0.32358867861895024,C
1,4,0.9666285550177995,-0.11012008886672814,4.050192921851674,-3.107810336641061,-5.232348712822332,-1.1599868984786075,2.315122646717753,1.5342869095981064,2.685894983488089,2.4737029684742953,0.3079593061235114,2.9426751113109586,0.23809172947846316,0.6347501413561626,-1.1841155519497182,0.87231681325997,-0.9832714086263331,-0.41156838010012897,0.09711664144283963,2.9426751113109586,B
2,0,4.720003402178232,0.6320976839757568,-1.0222103700943856,-1.0162287519856252,-0.5789803266776371,-0.8620537826955372,-0.029522616536883012,-1.372513508689602,-0.6045882662440851,0.41097064199168154,0.5646568470813013,0.015090777346183165,-1.240323961976828,-2.878664716827849,-2.336988302556265,-0.3537043458555553,-3.533916096949967,-0.6085216433342997,-0.6384664511505783,0.015090777346183165,B
3,4,-1.6132082085756898,-0.47636785081140276,5.638134820293905,-1.8124301399283644,-3.1303108726356244,1.5455334321969398,0.7809981154953892,1.3713615126121466,-0.3612372461999449,0.8530471461393735,-0.4046146837557716,-0.7977089501071489,3.87985390577017,-2.584239881910183,8.337714245056594,2.054023913601023,-1.8839952955948012,0.003996997140993469,3.2944177947044717,-0.7977089501071489,A
4,2,-4.481950563217474,1.7411580412786087,4.844297772087028,4.401992762386532,1.5689721224256377,-0.5005252725089079,0.5320601451841466,-0.8686650129658775,1.7764373396727666,0.9034514677465112,-0.4499824645288757,1.2794326242896266,0.48120330605328643,-0.19466829057857468,1.4934427395075427,2.4801408205087156,3.0795913363210614,2.135415538483302,1.1836576868814581,1.2794326242896266,C
5,3,-2.286845095963573,-0.5691506388294272,10.93256312703954,-0.8507880565693783,2.39535284557181,0.41015867100611814,-6.570825529360996,-1.008377155836866,1.0076916246859546,4.232365263004802,0.60208417981977,-0.2768023381818233,1.5079958097736945,-2.7722998731341586,5.07383521281654,3.085464827064587,-3.250383970625848,-1.5525258955039845,0.4971918814635684,-0.2768023381818233,A
6,2,-2.282240283899021,-0.19440365077250402,3.3596010120830204,-0.08451117253026094,0.9833387250662027,-2.593102641454099,1.5168689709766954,-2.2496677251547017,3.7315180433633137,0.690684515989436,0.08514213886610539,2.805244184335202,0.0994734256173895,-1.8090536055804973,-1.2641390315264152,-2.367165990436361,-1.1753729127516501,2.3464619761535634,-1.5859145048816217,2.805244184335202,C
7,2,-2.239909116049193,-0.7847072955277098,2.1546319909391047,2.6119498977453874,-0.8007873889673238,-2.6686967090374862,1.6457148207004795,-0.18158642895701585,2.67882084638276,-1.3205210024901093,-0.4137600093532422,-3.8558829794079235,-4.556828826105841,1.5067614340420008,-4.039143419711685,1.4385514663356644,0.40719914025230985,3.1319183767948946,-5.128767890887842,-3.8558829794079235,C
8,2,2.067282354607374,1.034279461697893,9.3220731271133,3.5134504063602225,-7.424902388479818,-2.778626313931798,-3.5247802289925105,-0.27552750260122705,4.792518780346198,1.1403850881946032,-0.6572066864341902,-4.917366739337128,-1.604674287566865,4.000928591570756,-12.759865806389325,2.3550642629010348,-0.8673292819774975,2.6745749979056574,-7.5402443740671945,-4.917366739337128,C
9,4,-0.8193944030110417,-0.8132879607287773,-2.8586344405775628,-2.935818264497852,-1.4000978647299571,-4.7977563901038005,3.3854365119721237,0.6440631767377162,-5.0899423066261305,3.745807458905158,0.529357042642596,1.811746603184967,1.112477085347157,-1.702676386327284,6.9749385518066,-1.8236418812653523,-4.454071229801055,-2.419840283238801,1.9489404119698657,1.811746603184967,B
10,1,-1.7638717491762566,0.8794322021132112,1.1558426313050054,-0.04924332503908055,3.859377544263481,-1.4539228012601542,-2.068510072219265,0.3944040085298197,-2.039773092457442,2.1065467837345246,1.342011050971719,-3.680008545465152,-2.0934475976741296,1.6706010006683227,4.233694295575563,2.6633254178792596,0.9854639810928182,-0.9621734044086722,-1.2028242626006018,-3.680008545465152,A
11,3,-0.903458917338737,-0.565427308800941,4.875767115296039,0.9728649111377766,-0.021995404436586513,-2.429104680814126,-1.9025481645243896,-0.8756667239390249,0.6031109202086152,2.841356001404351,-1.0038308130306297,1.091314432808434,-1.162045461879723,0.2530526030328496,-7.207643019023303,-0.267837508654465,4.7222478267180845,-2.4169719573144124,-3.176066620054144,1.091314432808434,B
12,1,2.95524341641111,0.8782068921132791,0.976601328829977,-0.6379762438757678,2.6756491233926325,-3.1464778543234098,-0.5044862238662412,0.871735402880637,-1.5067623525649254,3.7398186319289244,0.34021470185459995,-1.4634084570753616,-0.32750908104528664,-2.241565253683321,-2.9187470306683028,-2.0596261924384507,0.7594782940010366,-2.32980564641706,-2.3977320592379203,-1.4634084570753616,A
